Problem:    
Rows:       230
Columns:    660 (660 integer, 0 binary)
Non-zeros:  1400
Status:     INTEGER OPTIMAL
Objective:  obj = 4676 (MAXimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
   130 f_0_26_35    *              0             0           500 
   131 f_0_26_37    *              0             0           500 
   132 f_0_30_27    *              0             0           500 
   133 f_0_36_27    *              0             0           500 
   134 f_0_38_27    *              0             0           500 
   135 f_0_27_28    *              0             0            50 
   136 f_0_28_29    *              0             0           500 
   137 f_0_28_35    *              0             0           500 
   138 f_0_28_37    *              0             0           500 
   139 f_0_34_29    *              0             0           500 
   140 f_0_36_29    *              0             0           500 
   141 f_0_38_29    *              0             0           500 
   142 f_0_29_30    *              0             0            50 
   143 f_0_30_33    *              0             0           500 
   144 f_0_30_35    *              0             0           500 
   145 f_0_30_37    *              0             0           500 
   146 f_0_31_32    *              0             0            50 
   147 f_0_36_33    *              0             0           500 
   148 f_0_40_33    *              0             0           500 
   149 f_0_33_34    *              0             0            50 
   150 f_0_34_35    *              0             0           500 
   151 f_0_34_39    *              0             0           500 
   152 f_0_38_35    *              0             0           500 
   153 f_0_35_36    *              4             0            50 
   154 f_0_36_37    *              4             0           500 
   155 f_0_37_38    *              4             0            50 
   156 f_0_39_40    *             50             0            50 
   157 f_1_0_1      *              0             0             = 
   158 f_1_22_1     *              0             0           500 
   159 f_1_40_1     *              0             0           500 
   160 f_1_1_2      *              0             0            50 
   161 f_1_2_21     *              0             0           500 
   162 f_1_2_39     *              0             0           500 
   163 f_1_6_3      *              0             0           500 
   164 f_1_18_3     *              0             0           500 
   165 f_1_26_3     *              0             0           500 
   166 f_1_32_3     *              0             0           500 
   167 f_1_34_3     *              0             0           500 
   168 f_1_36_3     *              0             0           500 
   169 f_1_3_4      *              0             0            50 
   170 f_1_4_5      *              0             0           500 
   171 f_1_4_17     *              0             0           500 
   172 f_1_4_25     *              0             0           500 
   173 f_1_4_31     *              0             0           500 
   174 f_1_4_33     *              0             0           500 
   175 f_1_4_35     *              0             0           500 
   176 f_1_0_5      *              0             0             = 
   177 f_1_8_5      *              0             0           500 
   178 f_1_32_5     *              0             0           500 
   179 f_1_5_6      *              0             0            50 
   180 f_1_6_7      *              0             0           500 
   181 f_1_6_31     *              0             0           500 
   182 f_1_0_7      *              0             0             = 
   183 f_1_32_7     *              0             0           500 
   184 f_1_7_8      *              0             0            50 
   185 f_1_8_31     *              0             0           500 
   186 f_1_0_9      *              0             0             = 
   187 f_1_14_9     *              0             0           500 
   188 f_1_20_9     *              0             0           500 
   189 f_1_9_10     *              0             0            50 
   190 f_1_10_13    *              0             0           500 
   191 f_1_10_19    *              0             0           500 
   192 f_1_24_11    *              0             0           500 
   193 f_1_28_11    *              0             0           500 
   194 f_1_30_11    *              0             0           500 
   195 f_1_36_11    *              0             0           500 
   196 f_1_11_12    *              0             0            50 
   197 f_1_12_23    *              0             0           500 
   198 f_1_12_27    *              0             0           500 
   199 f_1_12_29    *              0             0           500 
   200 f_1_12_35    *              0             0           500 
   201 f_1_20_13    *              0             0           500 
   202 f_1_26_13    *              0             0           500 
   203 f_1_38_13    *              0             0           500 
   204 f_1_13_14    *              0             0            50 
   205 f_1_14_19    *              0             0           500 
   206 f_1_14_25    *              0             0           500 
   207 f_1_14_37    *              0             0           500 
   208 f_1_18_15    *              0             0           500 
   209 f_1_24_15    *              0             0           500 
   210 f_1_30_15    *              0             0           500 
   211 f_1_34_15    *              0             0           500 
   212 f_1_40_15    *              0             0           500 
   213 f_1_15_16    *              0             0            50 
   214 f_1_16_17    *              0             0           500 
   215 f_1_16_23    *              0             0           500 
   216 f_1_16_29    *              0             0           500 
   217 f_1_16_33    *              0             0           500 
   218 f_1_16_39    *              0             0           500 
   219 f_1_24_17    *              0             0           500 
   220 f_1_26_17    *              0             0           500 
   221 f_1_30_17    *              0             0           500 
   222 f_1_32_17    *              0             0           500 
   223 f_1_34_17    *              0             0           500 
   224 f_1_36_17    *              0             0           500 
   225 f_1_40_17    *              0             0           500 
   226 f_1_17_18    *              0             0            50 
   227 f_1_18_23    *              0             0           500 
   228 f_1_18_25    *              0             0           500 
   229 f_1_18_29    *              0             0           500 
   230 f_1_18_31    *              0             0           500 
   231 f_1_18_33    *              0             0           500 
   232 f_1_18_35    *              0             0           500 
   233 f_1_18_39    *              0             0           500 
   234 f_1_19_20    *              0             0            50 
   235 f_1_40_21    *              0             0           500 
   236 f_1_21_22    *              0             0            50 
   237 f_1_22_39    *              0             0           500 
   238 f_1_30_23    *              0             0           500 
   239 f_1_34_23    *              0             0           500 
   240 f_1_36_23    *              0             0           500 
   241 f_1_40_23    *              0             0           500 
   242 f_1_23_24    *              0             0            50 
   243 f_1_24_29    *              0             0           500 
   244 f_1_24_33    *              0             0           500 
   245 f_1_24_35    *              0             0           500 
   246 f_1_24_39    *              0             0           500 
   247 f_1_28_25    *              0             0           500 
   248 f_1_30_25    *              0             0           500 
   249 f_1_34_25    *              0             0           500 
   250 f_1_36_25    *              0             0           500 
   251 f_1_38_25    *              0             0           500 
   252 f_1_25_26    *              0             0            50 
   253 f_1_26_27    *              0             0           500 
   254 f_1_26_29    *              0             0           500 
   255 f_1_26_33    *              0             0           500 
   256 f_1_26_35    *              0             0           500 
   257 f_1_26_37    *              0             0           500 
   258 f_1_30_27    *              0             0           500 
   259 f_1_36_27    *              0             0           500 
   260 f_1_38_27    *              0             0           500 
   261 f_1_27_28    *              0             0            50 
   262 f_1_28_29    *              0             0           500 
   263 f_1_28_35    *              0             0           500 
   264 f_1_28_37    *              0             0           500 
   265 f_1_34_29    *              0             0           500 
   266 f_1_36_29    *              0             0           500 
   267 f_1_38_29    *              0             0           500 
   268 f_1_29_30    *              0             0            50 
   269 f_1_30_33    *              0             0           500 
   270 f_1_30_35    *              0             0           500 
   271 f_1_30_37    *              0             0           500 
   272 f_1_31_32    *              0             0            50 
   273 f_1_36_33    *              0             0           500 
   274 f_1_40_33    *              0             0           500 
   275 f_1_33_34    *              0             0            50 
   276 f_1_34_35    *              0             0           500 
   277 f_1_34_39    *              0             0           500 
